Epoch	LR	Train-Loss	Train-Acc-B	Train-Acc	Train-Precision	Train-Recall	Train-F1	Valid-Loss	Valid-Acc-B	Valid-Acc	Valid-Precision	Valid-Recall	Valid-F1	
43.000000	0.095046	1.595000	82.868000	88.925000	84.455000	82.868000	83.391000	1.520000	84.318000	89.749000	85.932000	84.318000	84.244000	
44.000000	0.094823	1.590000	82.759000	88.844000	84.144000	82.759000	83.233000	1.509000	86.592000	90.113000	87.220000	86.592000	86.381000	
45.000000	0.094595	1.587000	83.227000	89.210000	84.743000	83.227000	83.799000	1.521000	84.930000	89.344000	87.125000	84.930000	84.983000	
46.000000	0.094362	1.591000	83.127000	88.945000	84.628000	83.127000	83.628000	1.516000	84.467000	89.627000	87.484000	84.467000	85.246000	
47.000000	0.094125	1.580000	84.135000	89.577000	85.408000	84.135000	84.552000	1.547000	83.903000	88.006000	85.522000	83.903000	83.405000	
48.000000	0.093883	1.583000	84.050000	89.383000	85.530000	84.050000	84.563000	1.512000	85.580000	90.113000	87.500000	85.580000	85.903000	
49.000000	0.093636	1.582000	84.313000	89.607000	85.659000	84.313000	84.815000	1.508000	85.826000	89.789000	87.257000	85.826000	85.810000	
50.000000	0.093385	1.576000	84.746000	89.739000	85.823000	84.746000	85.095000	1.505000	86.096000	90.802000	87.779000	86.096000	86.495000	
51.000000	0.093130	1.577000	84.241000	89.739000	85.787000	84.241000	84.792000	1.578000	83.471000	87.885000	85.691000	83.471000	83.564000	
52.000000	0.092870	1.577000	84.871000	90.004000	86.265000	84.871000	85.368000	1.543000	83.861000	87.966000	84.496000	83.861000	82.953000	
53.000000	0.092606	1.574000	84.323000	89.709000	85.742000	84.323000	84.858000	1.513000	84.963000	89.668000	86.847000	84.963000	85.419000	
54.000000	0.092337	1.570000	84.794000	90.096000	86.456000	84.794000	85.386000	1.517000	86.430000	89.749000	85.686000	86.430000	84.930000	
55.000000	0.092064	1.573000	84.082000	89.851000	85.640000	84.082000	84.668000	1.500000	85.498000	90.154000	87.119000	85.498000	85.560000	
56.000000	0.091786	1.564000	85.773000	90.371000	86.825000	85.773000	86.127000	1.546000	83.841000	88.533000	85.591000	83.841000	83.949000	
57.000000	0.091505	1.562000	85.281000	90.340000	86.669000	85.281000	85.762000	1.512000	83.717000	89.546000	87.409000	83.717000	84.715000	
58.000000	0.091219	1.563000	85.345000	90.421000	86.457000	85.345000	85.697000	1.496000	86.835000	90.478000	87.411000	86.835000	86.546000	
59.000000	0.090928	1.560000	85.140000	90.208000	86.333000	85.140000	85.576000	1.514000	85.179000	89.425000	88.812000	85.179000	85.455000	
60.000000	0.090634	1.561000	85.645000	90.248000	87.161000	85.645000	86.197000	1.494000	85.176000	90.843000	87.274000	85.176000	85.273000	
61.000000	0.090335	1.557000	85.355000	90.513000	86.753000	85.355000	85.814000	1.468000	86.979000	91.248000	87.062000	86.979000	86.724000	
62.000000	0.090032	1.554000	86.048000	90.656000	86.968000	86.048000	86.301000	1.484000	85.614000	90.843000	88.077000	85.614000	85.986000	
63.000000	0.089725	1.548000	85.986000	90.696000	86.908000	85.986000	86.268000	1.491000	85.610000	90.559000	88.214000	85.610000	86.278000	
64.000000	0.089414	1.552000	85.124000	90.330000	86.791000	85.124000	85.754000	1.514000	86.191000	89.708000	87.872000	86.191000	86.456000	
65.000000	0.089099	1.551000	85.930000	90.686000	87.526000	85.930000	86.514000	1.502000	86.634000	89.263000	87.296000	86.634000	86.054000	
66.000000	0.088780	1.552000	85.809000	90.523000	86.697000	85.809000	86.073000	1.483000	86.432000	91.248000	87.975000	86.432000	86.767000	
67.000000	0.088457	1.550000	85.878000	90.676000	87.202000	85.878000	86.350000	1.498000	86.371000	90.032000	88.560000	86.371000	86.748000	
68.000000	0.088130	1.545000	86.702000	91.042000	87.728000	86.702000	87.030000	1.495000	86.875000	91.126000	88.222000	86.875000	87.200000	
69.000000	0.087799	1.544000	86.563000	90.991000	87.739000	86.563000	86.929000	1.487000	87.037000	90.802000	88.911000	87.037000	87.457000	
70.000000	0.087465	1.547000	86.905000	91.103000	87.814000	86.905000	87.229000	1.478000	87.666000	91.653000	88.676000	87.666000	87.880000	
71.000000	0.087126	1.539000	86.480000	91.276000	87.933000	86.480000	87.012000	1.502000	85.762000	89.344000	88.817000	85.762000	86.418000	
72.000000	0.086784	1.536000	86.806000	91.256000	88.014000	86.806000	87.254000	1.475000	86.646000	90.964000	88.181000	86.646000	87.186000	
73.000000	0.086437	1.536000	86.998000	91.572000	88.351000	86.998000	87.492000	1.468000	87.728000	91.734000	89.272000	87.728000	88.079000	
74.000000	0.086088	1.544000	86.665000	91.185000	87.875000	86.665000	87.109000	1.496000	86.888000	90.802000	87.103000	86.888000	86.454000	
75.000000	0.085734	1.535000	87.308000	91.480000	88.377000	87.308000	87.681000	1.470000	87.163000	91.329000	87.679000	87.163000	86.932000	
76.000000	0.085377	1.535000	86.846000	91.266000	87.836000	86.846000	87.198000	1.484000	87.113000	91.410000	87.458000	87.113000	86.722000	
77.000000	0.085016	1.530000	86.757000	91.276000	88.075000	86.757000	87.266000	1.490000	86.016000	91.005000	88.212000	86.016000	86.599000	
78.000000	0.084652	1.532000	87.602000	91.633000	88.524000	87.602000	87.867000	1.493000	85.835000	90.316000	88.645000	85.835000	86.373000	
79.000000	0.084284	1.533000	86.903000	91.297000	88.164000	86.903000	87.375000	1.524000	85.117000	89.425000	88.651000	85.117000	85.386000	
80.000000	0.083912	1.526000	87.667000	91.714000	88.925000	87.667000	88.159000	1.482000	87.686000	91.086000	87.415000	87.686000	86.972000	
81.000000	0.083537	1.526000	87.156000	91.572000	88.558000	87.156000	87.718000	1.470000	87.100000	91.329000	87.754000	87.100000	87.071000	
82.000000	0.083159	1.525000	87.135000	91.602000	87.986000	87.135000	87.409000	1.458000	88.187000	92.545000	88.635000	88.187000	88.148000	
83.000000	0.082778	1.525000	87.651000	91.826000	88.804000	87.651000	88.019000	1.483000	86.581000	90.519000	88.413000	86.581000	86.623000	
84.000000	0.082393	1.527000	87.501000	91.673000	88.601000	87.501000	87.842000	1.489000	87.184000	90.600000	87.528000	87.184000	86.909000	
85.000000	0.082005	1.520000	88.051000	91.928000	88.643000	88.051000	88.204000	1.477000	87.436000	91.937000	89.000000	87.436000	87.591000	
86.000000	0.081613	1.513000	88.638000	92.396000	89.767000	88.638000	89.018000	1.487000	86.384000	90.032000	89.021000	86.384000	87.091000	
87.000000	0.081218	1.517000	88.190000	91.958000	89.226000	88.190000	88.609000	1.476000	85.822000	90.113000	88.982000	85.822000	86.786000	
88.000000	0.080821	1.517000	87.461000	91.511000	88.513000	87.461000	87.864000	1.481000	86.291000	90.964000	88.705000	86.291000	86.681000	
89.000000	0.080420	1.515000	88.285000	92.132000	89.557000	88.285000	88.738000	1.494000	86.194000	90.276000	87.319000	86.194000	86.056000	
90.000000	0.080016	1.517000	88.079000	92.111000	89.455000	88.079000	88.565000	1.493000	86.990000	90.113000	88.675000	86.990000	87.002000	
91.000000	0.079609	1.510000	88.835000	92.518000	90.148000	88.835000	89.334000	1.516000	87.070000	89.911000	87.326000	87.070000	86.748000	
92.000000	0.079199	1.508000	88.966000	92.630000	90.190000	88.966000	89.454000	1.481000	87.184000	91.532000	90.383000	87.184000	88.126000	
93.000000	0.078786	1.512000	88.252000	92.162000	89.534000	88.252000	88.752000	1.489000	86.992000	90.640000	88.296000	86.992000	87.292000	
94.000000	0.078370	1.513000	88.111000	92.132000	89.271000	88.111000	88.559000	1.468000	88.222000	91.532000	90.518000	88.222000	88.789000	
95.000000	0.077952	1.508000	88.140000	92.406000	89.477000	88.140000	88.618000	1.484000	87.821000	91.532000	88.193000	87.821000	87.528000	
96.000000	0.077530	1.508000	88.182000	92.172000	89.429000	88.182000	88.645000	1.494000	85.935000	90.600000	87.608000	85.935000	85.900000	
97.000000	0.077106	1.514000	88.212000	92.193000	89.328000	88.212000	88.578000	1.470000	87.693000	92.018000	88.908000	87.693000	87.943000	
98.000000	0.076679	1.505000	88.598000	92.437000	89.674000	88.598000	89.013000	1.496000	86.358000	89.425000	87.150000	86.358000	85.917000	
99.000000	0.076250	1.508000	88.321000	92.305000	89.590000	88.321000	88.808000	1.469000	89.416000	91.126000	89.632000	89.416000	88.812000	
100.000000	0.075818	1.502000	88.889000	92.549000	89.856000	88.889000	89.237000	1.476000	85.624000	90.681000	89.173000	85.624000	86.551000	
101.000000	0.075383	1.496000	89.608000	92.915000	90.518000	89.608000	89.971000	1.471000	88.797000	91.167000	88.317000	88.797000	88.234000	
102.000000	0.074946	1.500000	89.357000	92.966000	90.500000	89.357000	89.755000	1.469000	87.416000	91.086000	87.666000	87.416000	86.958000	
103.000000	0.074507	1.497000	89.504000	92.875000	89.934000	89.504000	89.602000	1.463000	87.083000	91.329000	89.144000	87.083000	87.572000	
104.000000	0.074065	1.489000	89.651000	93.241000	90.555000	89.651000	89.952000	1.475000	86.747000	91.694000	88.541000	86.747000	87.177000	
105.000000	0.073620	1.489000	89.639000	93.088000	90.637000	89.639000	89.977000	1.459000	88.312000	92.261000	89.471000	88.312000	88.556000	
106.000000	0.073173	1.495000	89.319000	92.763000	90.433000	89.319000	89.722000	1.454000	87.342000	91.613000	89.372000	87.342000	87.958000	
107.000000	0.072725	1.498000	88.848000	92.763000	90.040000	88.848000	89.260000	1.470000	88.447000	91.045000	88.237000	88.447000	87.972000	
108.000000	0.072273	1.493000	89.164000	92.732000	89.925000	89.164000	89.441000	1.452000	87.947000	91.977000	88.264000	87.947000	87.875000	
109.000000	0.071820	1.496000	89.723000	93.139000	90.749000	89.723000	90.070000	1.480000	86.976000	90.681000	88.300000	86.976000	87.250000	
110.000000	0.071365	1.483000	90.024000	93.200000	90.558000	90.024000	90.134000	1.494000	86.227000	90.478000	87.940000	86.227000	86.252000	
111.000000	0.070907	1.492000	89.390000	92.864000	90.414000	89.390000	89.768000	1.481000	87.813000	89.911000	89.537000	87.813000	87.856000	
112.000000	0.070447	1.485000	90.135000	93.343000	91.239000	90.135000	90.579000	1.486000	87.071000	90.357000	87.809000	87.071000	86.871000	
113.000000	0.069986	1.484000	90.180000	93.231000	91.050000	90.180000	90.508000	1.467000	88.492000	91.288000	88.457000	88.492000	88.033000	
114.000000	0.069522	1.481000	90.192000	93.465000	91.057000	90.192000	90.496000	1.470000	87.983000	90.357000	89.291000	87.983000	87.826000	
115.000000	0.069057	1.489000	89.509000	93.139000	90.701000	89.509000	90.008000	1.448000	88.204000	91.856000	88.219000	88.204000	87.946000	
116.000000	0.068590	1.480000	90.585000	93.536000	91.378000	90.585000	90.892000	1.443000	88.170000	92.220000	89.061000	88.170000	88.142000	
117.000000	0.068121	1.483000	90.213000	93.516000	91.578000	90.213000	90.746000	1.446000	88.524000	92.545000	90.029000	88.524000	88.967000	
118.000000	0.067651	1.484000	90.273000	93.455000	91.019000	90.273000	90.523000	1.455000	87.505000	91.288000	89.101000	87.505000	88.035000	
119.000000	0.067178	1.481000	90.045000	93.363000	90.949000	90.045000	90.387000	1.451000	89.341000	92.707000	88.977000	89.341000	88.810000	
120.000000	0.066704	1.477000	90.297000	93.516000	91.178000	90.297000	90.637000	1.445000	88.742000	92.464000	89.599000	88.742000	88.830000	
121.000000	0.066229	1.473000	90.453000	93.526000	91.249000	90.453000	90.677000	1.443000	87.216000	91.856000	88.209000	87.216000	87.566000	
122.000000	0.065752	1.471000	90.469000	93.699000	91.539000	90.469000	90.878000	1.456000	88.749000	91.856000	89.825000	88.749000	88.876000	
123.000000	0.065274	1.471000	90.592000	93.607000	91.555000	90.592000	90.957000	1.458000	88.113000	91.977000	88.990000	88.113000	87.988000	
124.000000	0.064794	1.466000	91.172000	94.137000	92.220000	91.172000	91.575000	1.468000	86.885000	91.207000	88.083000	86.885000	87.028000	
125.000000	0.064313	1.465000	91.031000	93.984000	92.102000	91.031000	91.416000	1.475000	88.001000	90.802000	89.180000	88.001000	88.082000	
126.000000	0.063830	1.471000	90.665000	93.618000	91.179000	90.665000	90.808000	1.450000	89.549000	91.937000	89.732000	89.549000	89.329000	
127.000000	0.063347	1.469000	90.847000	93.791000	91.634000	90.847000	91.114000	1.452000	87.416000	91.410000	88.072000	87.416000	87.206000	
128.000000	0.062862	1.460000	91.525000	94.401000	92.556000	91.525000	91.899000	1.466000	88.326000	90.924000	87.812000	88.326000	87.672000	
129.000000	0.062376	1.464000	90.959000	94.066000	91.722000	90.959000	91.238000	1.467000	88.355000	91.410000	88.981000	88.355000	88.132000	
130.000000	0.061889	1.466000	90.706000	93.842000	91.728000	90.706000	91.102000	1.455000	89.491000	92.464000	89.110000	89.491000	89.084000	
131.000000	0.061401	1.460000	91.386000	94.066000	91.954000	91.386000	91.575000	1.455000	88.749000	92.099000	88.367000	88.749000	88.296000	
132.000000	0.060912	1.457000	91.770000	94.381000	92.654000	91.770000	92.112000	1.488000	88.225000	91.045000	87.797000	88.225000	87.488000	
133.000000	0.060422	1.465000	90.855000	93.862000	92.036000	90.855000	91.321000	1.449000	89.303000	92.099000	89.775000	89.303000	89.346000	
134.000000	0.059931	1.456000	91.329000	94.249000	92.333000	91.329000	91.688000	1.446000	87.550000	91.815000	88.822000	87.550000	87.732000	
135.000000	0.059439	1.458000	91.447000	94.422000	92.555000	91.447000	91.879000	1.437000	89.041000	92.423000	88.437000	89.041000	88.610000	
136.000000	0.058946	1.463000	90.993000	93.862000	91.748000	90.993000	91.246000	1.455000	88.342000	92.018000	88.721000	88.342000	88.050000	
137.000000	0.058453	1.452000	92.147000	94.727000	93.023000	92.147000	92.507000	1.447000	87.996000	92.220000	89.785000	87.996000	88.493000	
138.000000	0.057960	1.455000	91.973000	94.473000	92.676000	91.973000	92.230000	1.458000	88.128000	91.410000	88.059000	88.128000	87.755000	
139.000000	0.057465	1.455000	91.714000	94.422000	92.812000	91.714000	92.161000	1.437000	88.803000	92.058000	89.907000	88.803000	89.198000	
140.000000	0.056970	1.452000	91.646000	94.513000	92.558000	91.646000	91.992000	1.446000	88.805000	91.896000	90.028000	88.805000	88.933000	
141.000000	0.056475	1.450000	92.121000	94.686000	92.790000	92.121000	92.382000	1.445000	87.801000	91.896000	89.488000	87.801000	88.301000	
142.000000	0.055979	1.444000	92.194000	94.788000	93.061000	92.194000	92.514000	1.459000	88.480000	91.653000	87.588000	88.480000	87.650000	
143.000000	0.055483	1.453000	91.730000	94.391000	92.383000	91.730000	91.937000	1.443000	89.030000	91.896000	89.531000	89.030000	89.143000	
144.000000	0.054986	1.444000	91.800000	94.646000	92.747000	91.800000	92.159000	1.445000	88.908000	91.653000	89.524000	88.908000	88.918000	
145.000000	0.054489	1.445000	92.315000	94.737000	93.112000	92.315000	92.649000	1.442000	89.484000	91.775000	89.147000	89.484000	89.084000	
146.000000	0.053992	1.440000	92.786000	95.145000	93.562000	92.786000	93.073000	1.460000	88.371000	90.600000	89.490000	88.371000	88.398000	
147.000000	0.053495	1.442000	92.278000	94.860000	93.287000	92.278000	92.714000	1.468000	87.149000	90.316000	88.586000	87.149000	87.354000	
148.000000	0.052997	1.440000	92.128000	94.809000	93.012000	92.128000	92.489000	1.444000	87.858000	91.896000	88.830000	87.858000	87.958000	
149.000000	0.052500	1.433000	92.498000	95.185000	93.476000	92.498000	92.906000	1.446000	88.117000	91.694000	89.553000	88.117000	88.591000	
150.000000	0.052003	1.439000	92.743000	95.134000	93.652000	92.743000	93.126000	1.460000	88.550000	91.370000	89.894000	88.550000	88.903000	
151.000000	0.051505	1.437000	92.747000	95.022000	93.463000	92.747000	93.052000	1.450000	88.666000	91.410000	87.399000	88.666000	87.712000	
152.000000	0.051008	1.432000	92.886000	95.267000	93.671000	92.886000	93.203000	1.441000	89.545000	92.139000	88.977000	89.545000	88.923000	
153.000000	0.050511	1.436000	93.018000	95.257000	93.742000	93.018000	93.283000	1.437000	88.162000	92.180000	89.554000	88.162000	88.579000	
154.000000	0.050014	1.434000	92.722000	95.155000	93.619000	92.722000	93.080000	1.438000	88.945000	92.139000	88.809000	88.945000	88.528000	
155.000000	0.049517	1.432000	93.304000	95.348000	93.870000	93.304000	93.535000	1.446000	88.930000	91.734000	89.403000	88.930000	88.852000	
156.000000	0.049021	1.432000	92.707000	95.145000	93.566000	92.707000	93.037000	1.430000	89.216000	92.301000	88.615000	89.216000	88.786000	
