Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 0, loss: 2.793957, train acc: 0.433937, train avg acc: 0.257482
Train 0, loss: 11.121487, acc: 0.433937, avg acc: 0.257482, prec(macro): 0.279854, prec(weighted): 0.376495, recall(macro): 0.257482, recall(weighted): 0.433937, f1(macro): 0.248592, f1(weighted): 0.389812
Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 6, loss: 1.813977, acc: 0.805273, avg acc: 0.694576, prec(macro): 0.725857, prec(weighted): 0.792077, recall(macro): 0.694576, recall(weighted): 0.805273, f1(macro): 0.703128, f1(weighted): 0.794783
Train 6, loss: 7.220629, acc: 0.805273, avg acc: 0.694576, prec(macro): 0.725857, prec(weighted): 0.792077, recall(macro): 0.694576, recall(weighted): 0.805273, f1(macro): 0.703128, f1(weighted): 0.794783
Train 7, loss: 1.788692, acc: 0.817691, avg acc: 0.714423, prec(macro): 0.743840, prec(weighted): 0.806181, recall(macro): 0.714423, recall(weighted): 0.817691, f1(macro): 0.722796, f1(weighted): 0.808377
Train 7, loss: 7.119980, acc: 0.817691, avg acc: 0.714423, prec(macro): 0.743840, prec(weighted): 0.806181, recall(macro): 0.714423, recall(weighted): 0.817691, f1(macro): 0.722796, f1(weighted): 0.808377
Train 8, loss: 1.762083, acc: 0.827260, avg acc: 0.733273, prec(macro): 0.757124, prec(weighted): 0.817859, recall(macro): 0.733273, recall(weighted): 0.827260, f1(macro): 0.740329, f1(weighted): 0.819799
Train 8, loss: 7.014060, acc: 0.827260, avg acc: 0.733273, prec(macro): 0.757124, prec(weighted): 0.817859, recall(macro): 0.733273, recall(weighted): 0.827260, f1(macro): 0.740329, f1(weighted): 0.819799
Train 9, loss: 1.742969, acc: 0.833265, avg acc: 0.738951, prec(macro): 0.762923, prec(weighted): 0.823758, recall(macro): 0.738951, recall(weighted): 0.833265, f1(macro): 0.746592, f1(weighted): 0.825916
Train 9, loss: 6.937976, acc: 0.833265, avg acc: 0.738951, prec(macro): 0.762923, prec(weighted): 0.823758, recall(macro): 0.738951, recall(weighted): 0.833265, f1(macro): 0.746592, f1(weighted): 0.825916
Train 10, loss: 1.723193, acc: 0.842427, avg acc: 0.754073, prec(macro): 0.781476, prec(weighted): 0.834782, recall(macro): 0.754073, recall(weighted): 0.842427, f1(macro): 0.763217, f1(weighted): 0.835891
Train 10, loss: 6.859258, acc: 0.842427, avg acc: 0.754073, prec(macro): 0.781476, prec(weighted): 0.834782, recall(macro): 0.754073, recall(weighted): 0.842427, f1(macro): 0.763217, f1(weighted): 0.835891
Train 11, loss: 1.710028, acc: 0.849654, avg acc: 0.766030, prec(macro): 0.787494, prec(weighted): 0.841369, recall(macro): 0.766030, recall(weighted): 0.849654, f1(macro): 0.773079, f1(weighted): 0.843304
Train 11, loss: 6.806853, acc: 0.849654, avg acc: 0.766030, prec(macro): 0.787494, prec(weighted): 0.841369, recall(macro): 0.766030, recall(weighted): 0.849654, f1(macro): 0.773079, f1(weighted): 0.843304
Train 12, loss: 1.703890, acc: 0.851588, avg acc: 0.768953, prec(macro): 0.789404, prec(weighted): 0.843682, recall(macro): 0.768953, recall(weighted): 0.851588, f1(macro): 0.774991, f1(weighted): 0.845179
Train 12, loss: 6.782421, acc: 0.851588, avg acc: 0.768953, prec(macro): 0.789404, prec(weighted): 0.843682, recall(macro): 0.768953, recall(weighted): 0.851588, f1(macro): 0.774991, f1(weighted): 0.845179
Train 13, loss: 1.692172, acc: 0.854235, avg acc: 0.770345, prec(macro): 0.788702, prec(weighted): 0.846367, recall(macro): 0.770345, recall(weighted): 0.854235, f1(macro): 0.776136, f1(weighted): 0.848179
Train 13, loss: 6.735776, acc: 0.854235, avg acc: 0.770345, prec(macro): 0.788702, prec(weighted): 0.846367, recall(macro): 0.770345, recall(weighted): 0.854235, f1(macro): 0.776136, f1(weighted): 0.848179
Train 14, loss: 1.684069, acc: 0.862785, avg acc: 0.783212, prec(macro): 0.805447, prec(weighted): 0.855415, recall(macro): 0.783212, recall(weighted): 0.862785, f1(macro): 0.790747, f1(weighted): 0.856970
Train 14, loss: 6.703523, acc: 0.862785, avg acc: 0.783212, prec(macro): 0.805447, prec(weighted): 0.855415, recall(macro): 0.783212, recall(weighted): 0.862785, f1(macro): 0.790747, f1(weighted): 0.856970
Train 15, loss: 1.679713, acc: 0.861462, avg acc: 0.787131, prec(macro): 0.807376, prec(weighted): 0.855100, recall(macro): 0.787131, recall(weighted): 0.861462, f1(macro): 0.794294, f1(weighted): 0.856413
Train 15, loss: 6.686184, acc: 0.861462, avg acc: 0.787131, prec(macro): 0.807376, prec(weighted): 0.855100, recall(macro): 0.787131, recall(weighted): 0.861462, f1(macro): 0.794294, f1(weighted): 0.856413
Train 16, loss: 1.660483, acc: 0.869198, avg acc: 0.797212, prec(macro): 0.815957, prec(weighted): 0.863316, recall(macro): 0.797212, recall(weighted): 0.869198, f1(macro): 0.804128, f1(weighted): 0.864746
Train 16, loss: 6.609636, acc: 0.869198, avg acc: 0.797212, prec(macro): 0.815957, prec(weighted): 0.863316, recall(macro): 0.797212, recall(weighted): 0.869198, f1(macro): 0.804128, f1(weighted): 0.864746
Train 17, loss: 1.653196, acc: 0.872150, avg acc: 0.801938, prec(macro): 0.821812, prec(weighted): 0.866147, recall(macro): 0.801938, recall(weighted): 0.872150, f1(macro): 0.808983, f1(weighted): 0.867344
Train 17, loss: 6.580629, acc: 0.872150, avg acc: 0.801938, prec(macro): 0.821812, prec(weighted): 0.866147, recall(macro): 0.801938, recall(weighted): 0.872150, f1(macro): 0.808983, f1(weighted): 0.867344
Train 18, loss: 1.648919, acc: 0.872659, avg acc: 0.801680, prec(macro): 0.820342, prec(weighted): 0.865827, recall(macro): 0.801680, recall(weighted): 0.872659, f1(macro): 0.808513, f1(weighted): 0.867631
Train 18, loss: 6.563606, acc: 0.872659, avg acc: 0.801680, prec(macro): 0.820342, prec(weighted): 0.865827, recall(macro): 0.801680, recall(weighted): 0.872659, f1(macro): 0.808513, f1(weighted): 0.867631
Train 19, loss: 1.646764, acc: 0.875611, avg acc: 0.805694, prec(macro): 0.825636, prec(weighted): 0.870186, recall(macro): 0.805694, recall(weighted): 0.875611, f1(macro): 0.812743, f1(weighted): 0.871029
Train 19, loss: 6.555027, acc: 0.875611, avg acc: 0.805694, prec(macro): 0.825636, prec(weighted): 0.870186, recall(macro): 0.805694, recall(weighted): 0.875611, f1(macro): 0.812743, f1(weighted): 0.871029
